P1,U1
0.00338,0.006531974
0.00502,0.017372869
0.009973,0.028809721
0.024965,0.062565701
0.050187,0.117385831
0.100977,0.215813649
0.300053,0.526095141
0.497256,0.737929474
0.698206,0.901071885
0.898488,1.024778527
0.993943,1.075128266
