P1,U1
0,0
0.016997,0.010526
0.031162,0.021053
0.050992,0.063158
0.053824,0.063158
0.104816,0.136842
0.152975,0.178947
0.212465,0.231579
0.252125,0.284211
0.254958,0.294737
0.308782,0.347368
0.354108,0.389474
0.407932,0.442105
0.453258,0.484211
0.509915,0.536842
0.555241,0.578947
0.609065,0.621053
0.657224,0.652632
0.711048,0.705263
0.756374,0.747368
0.813031,0.789474
0.858357,0.821053
0.915014,0.852632
0.96034,0.894737
