#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	105.5
firstFrontCount	3
frontCount	57
avgEvalTime	12.854
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.517796	0.840547	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.635682	0.0342028	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.543434	0.106792	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.370373	0.44123	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.610125	0.492335	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.579882	1.28636e-07	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.496356	6.28058e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.489259	0.651728	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.555651	0.737026	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.621198	0.30982	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.477762	0.741481	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.150197	0.187272	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.617009	0.0323061	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.565364	0.632348	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.613293	0.22289	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.185833	0.322406	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.294881	0.727073	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.464	0.56668	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.438193	0.0795449	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.625684	0.224746	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.108515	0.912909	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.514512	0.566613	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.126603	0.218375	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.594286	0.106527	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.430357	7.48346e-05	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.51422	0.0614318	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.368622	0.551779	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.0997595	0.397165	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.198566	0.0457211	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.544084	0.41425	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.417839	0.201627	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.388906	0.57995	0	0	0	
100000	441.5	0.447848	0.682064	0.508509	10000	0.483503	0.352879	0	0	0	
100000	796.883	0.641432	0.819358	0.81158	10000	0.587331	0.698992	0	0	0	
100000	939.612	0.868424	1.1453	0.622475	10000	0.627784	0.421194	0	0	0	
100000	308.234	0.471505	0.537928	0.844309	10000	0.278487	0.418284	0	0	0	
100000	179.001	0.233111	0.927827	0.311102	10000	0.299367	0.168422	0	0	0	
100000	192.968	0.896783	1.96152	0.43887	10000	0.623584	0.201358	0	0	0	
100000	414.633	0.592998	0.598202	0.602843	10000	0.509314	0.350217	0	0	0	
100000	126.243	0.300742	0.705679	0.424167	10000	0.257588	0.0320002	0	0	0	
100000	269.857	0.794994	0.155519	0.928854	10000	0.175022	0.000308064	0	0	0	
100000	582.74	0.242538	0.971813	0.963089	10000	0.308371	0.858228	0	0	0	
100000	239.278	0.48912	1.28571	0.679136	10000	0.495598	0.497009	0	0	0	
100000	988.102	0.0469841	1.78182	0.913287	10000	0.224635	0.935878	0	0	0	
100000	269.252	0.33865	1.39148	0.136553	10000	0.513038	0.276731	0	0	0	
100000	657.22	0.49429	1.5802	0.715037	10000	0.599195	0.682819	0	0	0	
100000	340.821	0.694771	0.475839	0.0305409	10000	0.53762	0.000525381	0	0	0	
100000	485.123	0.896628	1.25875	0.617666	10000	0.62273	0.385495	0	0	0	
100000	580.954	0.189264	0.555871	0.886512	10000	0.177609	0.657854	0	0	0	
100000	176.248	0.969107	1.45412	0.500472	10000	0.624292	0.212028	0	0	0	
100000	685.152	0.0515825	0.235746	0.52165	10000	0.251804	0.496172	0	0	0	
100000	819.372	0.717991	0.384744	0.659605	10000	0.573913	0.435037	0	0	0	
100000	652.502	0.794324	0.962216	0.432392	10000	0.620963	0.255431	0	0	0	
100000	141.839	0.179921	0.842782	0.83138	10000	0.110155	0.245914	0	0	0	
