#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	127.13
firstFrontCount	4
frontCount	55
avgEvalTime	19.2194
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.457268	0.803894	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.630774	0.027955	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.441112	0.00871203	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.23144	0.220624	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.597745	0.462281	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.597556	2.68699e-06	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.521457	3.40157e-06	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.430074	0.584351	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.514472	0.694376	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.614264	0.28301	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.405694	0.651642	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.36504	0.259283	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.558591	5.27602e-05	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.523067	0.577335	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.592511	0.181179	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.233487	0.185212	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.424858	0.728509	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.425315	0.51056	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.404955	0.0384502	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.616133	0.205801	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.303181	0.918063	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.456689	0.489728	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.353378	0.298568	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.504316	0.0119421	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.492025	0.0018409	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.467195	0.00894533	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.243567	0.373823	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.340233	0.461992	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.385459	0.0943193	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.446157	0.262602	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.309132	0.0497393	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.255899	0.370633	0	0	0	
100000	441.5	0.447848	0.682064	0.508509	10000	0.397197	0.220636	0	0	0	
100000	796.883	0.641432	0.819358	0.81158	10000	0.574342	0.669945	0	0	0	
100000	939.612	0.868424	1.1453	0.622475	10000	0.621526	0.404166	0	0	0	
100000	308.234	0.471505	0.537928	0.844309	10000	0.191565	0.225439	0	0	0	
100000	179.001	0.233111	0.927827	0.311102	10000	0.378892	0.211646	0	0	0	
100000	192.968	0.896783	1.96152	0.43887	10000	0.612225	0.172262	0	0	0	
100000	414.633	0.592998	0.598202	0.602843	10000	0.389791	0.176382	0	0	0	
100000	126.243	0.300742	0.705679	0.424167	10000	0.383217	0.0870894	0	0	0	
100000	269.857	0.794994	0.155519	0.928854	10000	0.333709	0.00626805	0	0	0	
100000	582.74	0.242538	0.971813	0.963089	10000	0.23666	0.782629	0	0	0	
100000	239.278	0.48912	1.28571	0.679136	10000	0.387292	0.343355	0	0	0	
100000	988.102	0.0469841	1.78182	0.913287	10000	0.156433	0.900659	0	0	0	
100000	269.252	0.33865	1.39148	0.136553	10000	0.465369	0.200865	0	0	0	
100000	657.22	0.49429	1.5802	0.715037	10000	0.58445	0.658113	0	0	0	
100000	340.821	0.694771	0.475839	0.0305409	10000	0.533483	1.36484e-05	0	0	0	
100000	485.123	0.896628	1.25875	0.617666	10000	0.616101	0.3633	0	0	0	
100000	580.954	0.189264	0.555871	0.886512	10000	0.161465	0.535102	0	0	0	
100000	176.248	0.969107	1.45412	0.500472	10000	0.574309	0.123888	0	0	0	
100000	685.152	0.0515825	0.235746	0.52165	10000	0.408381	0.511417	0	0	0	
100000	819.372	0.717991	0.384744	0.659605	10000	0.496903	0.312688	0	0	0	
100000	652.502	0.794324	0.962216	0.432392	10000	0.609029	0.227796	0	0	0	
100000	141.839	0.179921	0.842782	0.83138	10000	0.32549	0.325799	0	0	0	
100000	405.265	0.526338	0.891919	0.65686	10000	0.44488	0.374086	0	0	0	
100000	437.335	0.0251774	1.96972	0.167168	10000	0.399945	0.827941	0	0	0	
100000	206.137	0.489894	0.745037	0.95163	10000	0.14067	0.311677	0	0	0	
100000	740.48	0.273737	0.903388	0.547871	10000	0.434864	0.534744	0	0	0	
100000	983.222	0.305426	1.43209	0.666339	10000	0.559005	0.724802	0	0	0	
100000	669.863	0.18457	0.343227	0.99908	10000	0.15676	0.508619	0	0	0	



#Generation 2 / 60
currentGen	2
evaluateCount	120
totalTime	531
firstFrontCount	7
frontCount	42
avgEvalTime	20.6373
#end
