#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	88.6164
firstFrontCount	3
frontCount	57
avgEvalTime	12.2616
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.50077	0.829285	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.635457	0.0337895	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.527828	0.0821872	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.331817	0.368056	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.605079	0.480885	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.582843	5.07798e-08	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.501118	4.96999e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.470929	0.628663	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.543047	0.723041	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.618311	0.300356	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.454327	0.709895	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.162556	0.136734	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.616704	0.0311282	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.554385	0.616268	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.60992	0.214478	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.162559	0.226809	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.28979	0.694988	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.448842	0.542342	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.423133	0.0564059	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.624305	0.221634	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.111911	0.89944	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.498601	0.542639	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.139705	0.164489	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.587823	0.0942325	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.444797	1.12287e-05	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.497903	0.0394971	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.333945	0.494656	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.117012	0.339274	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.220516	0.0227332	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.528321	0.382033	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.383924	0.143138	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.348826	0.508724	0	0	0	
100000	441.5	0.447848	0.682064	0.508509	10000	0.462473	0.313741	0	0	0	
100000	796.883	0.641432	0.819358	0.81158	10000	0.577636	0.683961	0	0	0	
100000	939.612	0.868424	1.1453	0.622475	10000	0.625464	0.415269	0	0	0	
100000	308.234	0.471505	0.537928	0.844309	10000	0.242885	0.33913	0	0	0	
100000	179.001	0.233111	0.927827	0.311102	10000	0.287097	0.130308	0	0	0	
100000	192.968	0.896783	1.96152	0.43887	10000	0.621575	0.195166	0	0	0	
100000	414.633	0.592998	0.598202	0.602843	10000	0.488091	0.309783	0	0	0	
100000	126.243	0.300742	0.705679	0.424167	10000	0.258259	0.0156424	0	0	0	
100000	269.857	0.794994	0.155519	0.928854	10000	0.245602	2.077e-05	0	0	0	
