#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	73.6667
firstFrontCount	3
frontCount	57
avgEvalTime	9.83673
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.526244	0.845	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.63577	0.0343321	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.563488	0.134474	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.395219	0.471981	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.611828	0.495652	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.575158	1.09347e-07	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.490929	9.37298e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.500619	0.663005	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.561435	0.74224	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.621831	0.311936	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.487469	0.750828	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.146577	0.202074	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.621045	0.0366346	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.570508	0.638533	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.614989	0.226335	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.200835	0.352931	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.294452	0.734811	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.475912	0.580907	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.456078	0.10214	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.626448	0.226191	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.111345	0.916713	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.524114	0.578256	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.123407	0.234314	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.600967	0.116834	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.418032	0.000137745	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.532977	0.0836503	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.388993	0.57481	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.0956913	0.413371	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.190458	0.0541392	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.552465	0.42772	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.443858	0.237046	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.415693	0.607007	0	0	0	
100000	441.5	0.447848	0.682064	0.508509	10000	0.498088	0.37446	0	0	0	
100000	796.883	0.641432	0.819358	0.81158	10000	0.590636	0.703292	0	0	0	
100000	939.612	0.868424	1.1453	0.622475	10000	0.628315	0.422485	0	0	0	
100000	308.234	0.471505	0.537928	0.844309	10000	0.299477	0.447555	0	0	0	
100000	179.001	0.233111	0.927827	0.311102	10000	0.309577	0.188051	0	0	0	
100000	192.968	0.896783	1.96152	0.43887	10000	0.624191	0.20306	0	0	0	
100000	414.633	0.592998	0.598202	0.602843	10000	0.522959	0.370898	0	0	0	
100000	126.243	0.300742	0.705679	0.424167	10000	0.260673	0.0405583	0	0	0	
100000	269.857	0.794994	0.155519	0.928854	10000	0.132138	0.00136117	0	0	0	
100000	582.74	0.242538	0.971813	0.963089	10000	0.323392	0.866394	0	0	0	
100000	239.278	0.48912	1.28571	0.679136	10000	0.50768	0.51333	0	0	0	
100000	988.102	0.0469841	1.78182	0.913287	10000	0.241333	0.939816	0	0	0	
100000	269.252	0.33865	1.39148	0.136553	10000	0.52304	0.293034	0	0	0	
100000	657.22	0.49429	1.5802	0.715037	10000	0.601709	0.68598	0	0	0	
