#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	89.2907
firstFrontCount	3
frontCount	57
avgEvalTime	11.7644
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.512163	0.837131	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.635624	0.0340965	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.535163	0.0950694	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.356915	0.419282	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.608589	0.489048	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.581579	1.07404e-07	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.498521	5.40287e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.482695	0.644234	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.551557	0.732822	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.620354	0.307172	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.47012	0.732456	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.152203	0.170882	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.615646	0.0307385	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.561812	0.627505	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.612174	0.220288	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.177245	0.294963	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.292412	0.717455	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.457898	0.558133	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.430966	0.069711	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.625235	0.223791	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.107451	0.908973	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.508909	0.558878	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.128699	0.200996	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.591116	0.101224	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.436759	4.03499e-05	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.506793	0.0522592	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.356665	0.534654	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.103053	0.379106	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.204031	0.037287	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.538756	0.404273	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.405306	0.181927	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.374456	0.558965	0	0	0	
