#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	89.6217
firstFrontCount	3
frontCount	57
avgEvalTime	11.5878
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.522884	0.843157	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.635732	0.0342749	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.557459	0.125642	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.38573	0.459361	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.611055	0.494114	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.576733	1.15342e-07	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.492845	6.22419e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.496354	0.6586	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.559083	0.740032	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.621471	0.31082	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.483293	0.74657	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.147484	0.193916	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.620047	0.0354809	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.568442	0.635945	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.614322	0.224906	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.194539	0.338628	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.293632	0.730604	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.471567	0.575501	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.449844	0.0937454	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.626155	0.225629	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.110008	0.91482	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.520497	0.573693	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.12429	0.22564	0	0	0	
