#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	78.4877
firstFrontCount	3
frontCount	57
avgEvalTime	9.50837
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.512512	0.837051	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.635622	0.0340753	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.537415	0.0974588	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.357728	0.417822	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.608641	0.488786	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.581285	9.56956e-08	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.498253	5.06006e-08	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.483261	0.644359	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.551809	0.732693	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.620363	0.306816	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.470763	0.731672	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.157514	0.17307	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.616522	0.031514	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.562034	0.627387	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.612277	0.22025	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.178485	0.291524	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.295889	0.717952	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.459098	0.558973	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.432856	0.0714099	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.625285	0.223822	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.111087	0.908926	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.509399	0.559021	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.134221	0.203299	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.591997	0.102173	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.436324	4.6593e-05	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.508564	0.0535473	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.357175	0.533621	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.108974	0.380988	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.208148	0.0385505	0	0	0	
